Team,Wins
Atlanta Hawks,27
Boston Celtics,25
Brooklyn Nets,35
Charlotte Hornets,25
Chicago Bulls,21
Cleveland Cavaliers,18
Dallas Mavericks,28
Denver Nuggets,32
Detroit Pistons,15
Golden State Warriors,24
Houston Rockets,13
Indiana Pacers,22
Los Angeles Clippers,34
Los Angeles Lakers,32
Memphis Grizzlies,25
Miami Heat,26
Milwaukee Bucks,32
Minnesota Timberwolves,13
New Orleans Pelicans,22
New York Knicks,25
Oklahoma City Thunder,20
Orlando Magic,17
Philadelphia 76ers,35
Phoenix Suns,35
Portland Trail Blazers,30
Sacramento Kings,22
San Antonio Spurs,24
Toronto Raptors,20
Utah Jazz,38
Washington Wizards,17